Owner,Repository,Committer,Date,Tree URL,Code Size
matplotlib,matplotlib,GitHub,2023-01-19T07:35:12Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/96f9423f5f02e82c1eea3d31cef7a48ba5b44960,84095
matplotlib,matplotlib,Oscar Gustafsson,2023-01-19T07:17:44Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/0f524e6a76b2ab957bf66387f53b1845ea66f4bd,84091
matplotlib,matplotlib,MeeseeksDev[bot],2023-01-19T01:58:39Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/96f9423f5f02e82c1eea3d31cef7a48ba5b44960,84095
matplotlib,matplotlib,GitHub,2023-01-19T01:58:07Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/56964a3f7dc6c30b9b18458c5779f3372ea0e0eb,84091
matplotlib,matplotlib,GitHub,2023-01-18T20:42:05Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/002baf83b91436244b8a16084fd36295e08a4c07,84091
matplotlib,matplotlib,Ruth Comer,2023-01-18T19:57:13Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/002baf83b91436244b8a16084fd36295e08a4c07,84091
matplotlib,matplotlib,Antony Lee,2023-01-18T17:50:08Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/b363f747806bf51f8a3c8a022f0ceee469ec915c,84091
matplotlib,matplotlib,kolibril13,2023-01-18T17:26:55Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/b3cd30e297511ec5fe55c569fbf2d457add46c75,84091
matplotlib,matplotlib,GitHub,2023-01-18T15:21:35Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/d1cc0cb535eb5e95f733b1ebbe5e96436a03a865,84091
matplotlib,matplotlib,kolibril13,2023-01-18T12:07:34Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/ec1193cde05ea0e8f10517e644af5bdc58abd0c1,84091
matplotlib,matplotlib,kolibril13,2023-01-18T10:11:21Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/e29233a14910faeb1e15407c829807f6c7d4717a,84091
matplotlib,matplotlib,Oscar Gustafsson,2023-01-18T08:12:03Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/8630bd9f21177aab6d52fa47b641c62d346c7718,84091
matplotlib,matplotlib,Oscar Gustafsson,2023-01-18T08:12:03Z,https://api.github.com/repos/matplotlib/matplotlib/git/trees/70294ec28abe772bfaca91293465eb7aa343abf6,84091
