owner,repo_name,commit_id,committer,date,code_added,code_removed,code_size_bytes,code_size_kilobytes
Anuken,Mindustry,3048e38bff123370dd6aaf57d1c0f9b269fbcc78,web-flow,2023-04-01 13:54:01,10,8,18,0.01758
Anuken,Mindustry,b88a215dc55237bd3386a1db1d7c7cf87991b2ec,Anuken,2023-04-01 03:05:00,34,0,34,0.03320
Anuken,Mindustry,36e5522694d148150bee0414e1c4fac55ca31e0b,Anuken,2023-04-01 03:04:55,19,0,19,0.01855
Anuken,Mindustry,226e8b8a20cbd02704ce8459941cc4a3d63e54a0,Unknown,2023-04-01 02:45:47,34,0,34,0.03320
Anuken,Mindustry,43424547f236f0d391102eb888e0e4a9b7f36532,Anuken,2023-04-01 02:44:54,1,0,1,0.00098
Anuken,Mindustry,d2f2189441967593d09f06501869a276d69e2401,Anuken,2023-04-01 02:03:02,72,19,91,0.08887
Anuken,Mindustry,e81cd5b68e2e1073fc81e974ce5301c75426eca5,Anuken,2023-04-01 02:02:57,6,2,8,0.00781
Anuken,Mindustry,c30cbc0f20e4d8e7190a9f2655bd45c0c89b6c14,web-flow,2023-03-31 20:30:14,1,0,1,0.00098
Anuken,Mindustry,e79a97ed929f4d9d5516e8780f8d8460bacc54bd,web-flow,2023-03-31 18:21:41,54,9,63,0.06152
Anuken,Mindustry,ac19c3f160883348d8a9b48294d541ff4fa147ba,web-flow,2023-03-31 01:23:53,12,1,13,0.01270
Anuken,Mindustry,375837eef53aa4e4b07bf59d7fb2e813a49be01c,web-flow,2023-03-30 22:26:05,3,7,10,0.00977
Anuken,Mindustry,c59d3d527951087f7797880a678b665b52da119c,web-flow,2023-03-28 22:04:35,1,1,2,0.00195
Anuken,Mindustry,d1c506330bce45240a1b49a1b8ac9f2f988219f7,web-flow,2023-03-28 18:04:07,1,1,2,0.00195
Anuken,Mindustry,b81e9424794ca8eccb7008a1f85ab9c2199bdbd3,Anuken,2023-03-27 14:40:16,6,17,23,0.02246
Anuken,Mindustry,e36a70749c00507e995ce1c68664ec903cfdba24,Anuken,2023-03-27 14:19:35,1,1,2,0.00195
Anuken,Mindustry,4db085bd07210c72bdf894ffc25b446be39b8910,Anuken,2023-03-27 14:07:41,5,3,8,0.00781
Anuken,Mindustry,cd7088d241e8349e546c7e57f5eb583f6dde5e0e,Anuken,2023-03-27 03:17:08,7,0,7,0.00684
Anuken,Mindustry,821569aafb4f7b340d7e0dff1cbf6c54586abc2a,Anuken,2023-03-27 02:46:35,84,17,101,0.09863
Anuken,Mindustry,83a059b2da5a7cc7d22cfc1d9e42aebeea26f924,Anuken,2023-03-27 02:46:30,40,16,56,0.05469
Anuken,Mindustry,0de2c95f6e49a085a93fa63952ace7c64694351b,web-flow,2023-03-26 18:53:14,6,0,6,0.00586
Anuken,Mindustry,fcb44e495247787a3d52ae34bf7a206e46ad46e5,web-flow,2023-03-26 15:53:46,2,2,4,0.00391
Anuken,Mindustry,af26e60a4f1ffc9f5bfe6f19675b5060415360aa,Unknown,2023-03-26 02:45:57,34,0,34,0.03320
Anuken,Mindustry,6b936aa7f6afb3aeed50a8c72fd3ce6d11fa8e10,web-flow,2023-03-26 02:45:07,28,17,45,0.04395
Anuken,Mindustry,f6a8c7509d45352e7f71ed0f9ce57caf9fa40208,web-flow,2023-03-25 18:31:14,16,0,16,0.01562
Anuken,Mindustry,deb814ce58569dc4f6b8ce9730b46864ef090b59,Anuken,2023-03-25 18:26:50,22,12,34,0.03320
Anuken,Mindustry,da4371baf83e2cd7b244c6effda7a95d7a791728,Anuken,2023-03-25 18:26:46,0,10,10,0.00977
Anuken,Mindustry,47a2afd294306e21d39409ff296d071cd6a37f30,web-flow,2023-03-25 18:24:09,1,1,2,0.00195
Anuken,Mindustry,0122b735a04058b76eca561092bdc32d05edfdc0,web-flow,2023-03-25 18:06:14,21,11,32,0.03125
Anuken,Mindustry,9c3ddc398cc7728b5bedc8187d5986977603c6e2,web-flow,2023-03-25 18:00:08,125,5,130,0.12695
Anuken,Mindustry,0ccbe68a65fb26214201b8e69790ca02a34501cc,web-flow,2023-03-25 17:58:10,4,0,4,0.00391
Anuken,Mindustry,30cd6a7de6ef4ed5b31583e5bb0aaaa380a9ab1d,web-flow,2023-03-25 17:57:50,4,0,4,0.00391
Anuken,Mindustry,23a2596e298395fbd48aef2fe2d75ef56c83bbf3,web-flow,2023-03-25 17:57:20,1,1,2,0.00195
Anuken,Mindustry,b88422b17e678fea35c4f3ce68fdcd065b1f9dd2,web-flow,2023-03-25 17:57:11,1,1,2,0.00195
Anuken,Mindustry,09a9b6833129367105bbc83e3b0e4ae9a74d49fc,web-flow,2023-03-25 17:56:48,1,1,2,0.00195
Anuken,Mindustry,08f63122ba1356e3290f4de88d52c8b49b063ab9,web-flow,2023-03-25 17:55:26,9,9,18,0.01758
Anuken,Mindustry,355f33b0a48dcead5bb38fd6528e932df62fdf4e,web-flow,2023-03-25 17:52:04,30,30,60,0.05859
Anuken,Mindustry,90f7bbae65555f9a2870bd8ed8dcac475a7524a1,web-flow,2023-03-25 17:51:43,10,4,14,0.01367
Anuken,Mindustry,4be7cf5c0ee9d0f52658ad213baa21e112a0e7d9,web-flow,2023-03-25 17:50:25,66,16,82,0.08008
Anuken,Mindustry,58eef492842daca2149ff214051b3d3df621966d,web-flow,2023-03-25 17:50:06,15,13,28,0.02734
Anuken,Mindustry,b030a51485d48b76cfd89b07fbec8017fe7f9c24,web-flow,2023-03-25 17:49:22,2,2,4,0.00391
Anuken,Mindustry,aec3e178f5a62a30e9c617fd9e2bb7ffd2b47064,web-flow,2023-03-25 17:47:53,3,3,6,0.00586
Anuken,Mindustry,ee47d8a20a57d65eff5aa8054d22c44309c43378,web-flow,2023-03-25 17:46:55,1,1,2,0.00195
Anuken,Mindustry,5c05c9f1d1b61c05a78646f72786f643802178cd,web-flow,2023-03-25 17:46:11,6,1,7,0.00684
Anuken,Mindustry,172f47cad6749df570a4db1aef2f14c11309f305,Anuken,2023-03-25 17:36:45,2,2,4,0.00391
Anuken,Mindustry,a8b3350d61e5284bc76e50e9a870a9eec1ff1250,Anuken,2023-03-25 17:20:04,6,6,12,0.01172
Anuken,Mindustry,b3241942956f60bbd5771141b4ac668b5a4075db,Anuken,2023-03-25 17:16:15,8,2,10,0.00977
Anuken,Mindustry,663fa2bd3f40a890e98ba72c26bdbef227f07c76,Anuken,2023-03-25 17:16:12,5,0,5,0.00488
Anuken,Mindustry,4ddb78e8d59ba1d7a1aee0b0ac757d6f04051f21,web-flow,2023-03-25 17:10:21,8,2,10,0.00977
Anuken,Mindustry,f23d20309557ee85144fc725c9149f033d02251d,Anuken,2023-03-25 17:01:16,68,68,136,0.13281
Anuken,Mindustry,dfce361afc47a06bfc15257c03b6b15297fec6a4,Anuken,2023-03-25 17:01:12,1,1,2,0.00195
Anuken,Mindustry,2553891c254736b9a9f4e81b6ce9097427cd1cf1,Unknown,2023-03-25 16:43:28,68,68,136,0.13281
Anuken,Mindustry,e4bef567b5c03d871c68c885ef38cf2ac593732c,Anuken,2023-03-25 16:42:29,41,44,85,0.08301
Anuken,Mindustry,0daafc5ff3a51f5fbd046db2f4631083f1c083cc,Anuken,2023-03-25 15:11:06,31,10,41,0.04004
Anuken,Mindustry,d07706e039a9d53ac45b5062ee03888182ec5239,Anuken,2023-03-18 20:18:16,30,34,64,0.06250
Anuken,Mindustry,ca2b51d4fed26e55bf3b138d85dbc97fb98648e6,Anuken,2023-03-09 10:25:41,1051,964,2015,1.96777
Anuken,Mindustry,bae3884d96a25d079a2ed113f2c6f70612b7be39,Anuken,2023-03-09 10:25:35,264,8,272,0.26562
Anuken,Mindustry,515a6f9c8d4bb8389be860ca16ed863c529b21b9,web-flow,2023-03-08 18:11:53,10,1,11,0.01074
Anuken,Mindustry,d937af74972a733653596f34e96d73c60064ea01,web-flow,2023-03-08 14:25:56,8,8,16,0.01562
Anuken,Mindustry,a216c9c56ef436e70c8437abfd3464f6b9918136,Unknown,2023-03-08 14:21:36,2,2,4,0.00391
Anuken,Mindustry,0e9f250e93afacb9115b49c86c832f28d5adf823,web-flow,2023-03-08 14:20:48,547,545,1092,1.06641
Anuken,Mindustry,10e0be9d683677c873caeb214c7fc45bf40c6005,web-flow,2023-03-08 14:19:57,13,5,18,0.01758
Anuken,Mindustry,29d42460197ac04215b2cdc96a9503fc172161a2,Unknown,2023-03-08 14:19:41,1,0,1,0.00098
Anuken,Mindustry,65c5d206a8006391060c233e563b5b4f281d8f4a,web-flow,2023-03-08 14:18:46,1,1,2,0.00195
Anuken,Mindustry,3a73a97746100427449a75481514d331ccf00fcc,web-flow,2023-03-08 14:18:17,382,383,765,0.74707
Anuken,Mindustry,a3f8ca9ca573d8ff40e84bbac1562d4a416bd535,web-flow,2023-03-08 14:17:39,4,4,8,0.00781
Anuken,Mindustry,a046f0f11b15fba243f03e25dc95d6c90a75cdee,web-flow,2023-03-08 14:16:07,8,6,14,0.01367
Anuken,Mindustry,2cc486febca0274febbcbdf1eef57452d014f810,Unknown,2023-03-08 14:11:55,34,0,34,0.03320
Anuken,Mindustry,3c9b3680bcc59fb99d66028d616089c850277932,web-flow,2023-03-08 14:11:07,3,1,4,0.00391
Anuken,Mindustry,0a1957eb135754294c169d2a80ab928bdeee51aa,web-flow,2023-03-08 14:10:34,33,3,36,0.03516
Anuken,Mindustry,75e1e6f1666136f2e8067abb4dfdd37be7e6da24,web-flow,2023-03-08 13:26:11,2,2,4,0.00391
Anuken,Mindustry,327a8fc61b8a1e014c0bbacabd3148a6aaf500fe,web-flow,2023-03-08 12:12:04,7,7,14,0.01367
Anuken,Mindustry,a857eaed745306df8315ad83a55d7ae3a2b1d58e,Anuken,2023-03-08 12:06:59,4,3,7,0.00684
Anuken,Mindustry,028c189dc8025005afbfba18fcbc7747ee39716a,Anuken,2023-03-08 11:56:49,17,6,23,0.02246
Anuken,Mindustry,11f8e067082590b0e8accf153df9fce3f93a5971,Anuken,2023-03-08 11:56:44,1,6,7,0.00684
Anuken,Mindustry,0760923943ba75aa7aeb2278186a9dad4568f154,web-flow,2023-02-27 16:26:47,8,0,8,0.00781
Anuken,Mindustry,219084fe3ce664702fd37e887784d0164e58363c,web-flow,2023-02-27 16:26:26,2,0,2,0.00195
Anuken,Mindustry,4f314afe213c815c46d3f82976a93d3525d798e7,web-flow,2023-02-27 16:25:29,5,5,10,0.00977
Anuken,Mindustry,6750cfead8b8b1607c0e1de1dc0bab395c2dc482,web-flow,2023-02-27 16:25:12,2,1,3,0.00293
Anuken,Mindustry,b5696463102547b3f0516df875139e8643393eae,Anuken,2023-02-27 04:03:03,4,0,4,0.00391
Anuken,Mindustry,cc207d3d7c0cde25330007a5b286ae3ef9bcd17f,Anuken,2023-02-26 20:36:28,2,0,2,0.00195
Anuken,Mindustry,e234ac43a602cdfd5a56c776c5d40146fcd7c699,Anuken,2023-02-25 16:38:18,71,70,141,0.13770
Anuken,Mindustry,2388091ed6ccf4e7948bb16c9043b10b35df1ba3,Anuken,2023-02-23 21:12:57,1,1,2,0.00195
Anuken,Mindustry,a38351d41f94283043abf6b1743ec023e0dbb3ca,Anuken,2023-02-23 21:12:52,21,1,22,0.02148
Anuken,Mindustry,4d8de72a8e300793a8e0d5d858de01ed2ebbf504,web-flow,2023-02-23 14:06:07,1,1,2,0.00195
Anuken,Mindustry,ab2138d8e772640ac39b83fa2563e1bf4fc430c0,Unknown,2023-02-22 18:03:15,2,2,4,0.00391
Anuken,Mindustry,46c75af9e4fb1baa7b05f44724f6b643b85facfa,web-flow,2023-02-22 18:02:09,417,418,835,0.81543
Anuken,Mindustry,8eb3c16c5084c5356f7a58f1ac70c8c9cb213a07,web-flow,2023-02-22 18:02:04,1,1,2,0.00195
Anuken,Mindustry,39e88ae6144a1c2a6fc7e0627a43f645112d5652,Anuken,2023-02-21 23:15:20,16,4,20,0.01953
Anuken,Mindustry,4410f31888e313b8710ee2d9fbb3817790ef056c,Anuken,2023-02-21 15:55:01,50,50,100,0.09766
Anuken,Mindustry,df11dd7a74955793e8d37d9f9091e7e62fef64f8,Anuken,2023-02-21 15:54:56,18,6,24,0.02344
Anuken,Mindustry,804dd61cd983f2702bec76138951444a8c13a0d7,web-flow,2023-02-21 15:26:04,50,50,100,0.09766
Anuken,Mindustry,b00c5b4cab5ab3234f61c0bec8380249fc4d50a4,Anuken,2023-02-21 15:24:50,25,19,44,0.04297
Anuken,Mindustry,e0d6cebb2e0aacc4aff1edddf542546339f4312a,Anuken,2023-02-21 15:24:45,2,4,6,0.00586
Anuken,Mindustry,ab772dccd4d54e91491b51559668f98f5c05334f,web-flow,2023-02-21 14:55:55,17,17,34,0.03320
Anuken,Mindustry,b24403232838ebd455dd65083f329fb8b4e6c22c,web-flow,2023-02-21 14:55:33,4,0,4,0.00391
Anuken,Mindustry,421c5e2879ee0d1b806d8b3a431d9ab1dbf0735c,web-flow,2023-02-21 14:52:55,1,1,2,0.00195
Anuken,Mindustry,1a8c4d8d8a87df99f6807f8b2a682dce11f6d4c1,web-flow,2023-02-20 19:19:36,2,0,2,0.00195
Anuken,Mindustry,9efb1824af665c0230d7c974c86f5b04d92a807e,web-flow,2023-02-20 18:46:01,1,1,2,0.00195
Anuken,Mindustry,74de125700a1d8428fcc6928aab818635c16ec9d,Anuken,2023-02-20 17:27:24,5,1,6,0.00586
Anuken,Mindustry,64cea34a98e1638958eee37aef7f197b7284a3a8,Anuken,2023-02-20 17:20:01,103,103,206,0.20117
Anuken,Mindustry,9c4bdc213defcf3e05d29c8970bd7d9a6620e0ca,Anuken,2023-02-20 17:19:56,8,5,13,0.01270
Anuken,Mindustry,92c0552fd590d6e3c1b96e10502f4cec074ee81b,web-flow,2023-02-19 14:26:59,102,102,204,0.19922
Anuken,Mindustry,ff39e5f90d49b45e56c0e4316120b0c3cfdd9234,web-flow,2023-02-19 14:25:09,1,1,2,0.00195
Anuken,Mindustry,83c55fdbb421ddb91c333be4b6e03b9212e39411,Anuken,2023-02-19 04:12:52,16,4,20,0.01953
Anuken,Mindustry,7d300a273b90d073d3774e06c2743d659e18bea4,Anuken,2023-02-19 04:12:47,6,6,12,0.01172
Anuken,Mindustry,29f36c19276430c95bb1b2683eb94d04540ded85,web-flow,2023-02-19 00:48:22,12,0,12,0.01172
Anuken,Mindustry,b65c3cd931170836eae722c8cd8a738c4759a3f0,web-flow,2023-02-19 00:48:08,4,4,8,0.00781
Anuken,Mindustry,7401e7fe313e18b7e399f02649f9c2806f7cd036,Anuken,2023-02-19 00:47:22,3,1,4,0.00391
Anuken,Mindustry,150215712b40e3aca0987b536efd0e45c2c22304,Anuken,2023-02-17 14:18:08,7,13,20,0.01953
Anuken,Mindustry,f7ccf3c04abb32741aa0a318730c1dfb9a47739a,web-flow,2023-02-17 14:13:59,22,9,31,0.03027
Anuken,Mindustry,ebb798cac30aa530008935d128f23ab13c4ffa27,web-flow,2023-02-17 14:03:44,4,0,4,0.00391
Anuken,Mindustry,348819d1aca8c0d477388ab0b89672144945af72,web-flow,2023-02-16 04:22:05,7,5,12,0.01172
Anuken,Mindustry,a8a3453632b881d6e3368f557d79ff3813826d8d,web-flow,2023-02-15 17:16:51,138,110,248,0.24219
Anuken,Mindustry,9b02a274f103e50b2b7d6485076dfaddeb68f607,web-flow,2023-02-15 15:38:44,0,4,4,0.00391
Anuken,Mindustry,f0933605654916ee5674cc6085a69ba1899fe942,Anuken,2023-02-15 15:34:57,50,38,88,0.08594
Anuken,Mindustry,d457901d2e937040b0a3e6a3c2b9383a0ab37281,Anuken,2023-02-15 15:34:52,16,6,22,0.02148
Anuken,Mindustry,460dbff7d14550121c8a1107a5a91ec351b34eb0,Anuken,2023-02-15 15:33:36,9,0,9,0.00879
Anuken,Mindustry,e564602fd110b328caeeef91f759fbd0d4cee8cf,Anuken,2023-02-15 14:59:32,1,1,2,0.00195
Anuken,Mindustry,e029321e5bda60b9949c39c68e080166fb7f4571,web-flow,2023-02-15 14:34:38,4,0,4,0.00391
Anuken,Mindustry,87d7089df3fc16b075afc22d0904c2a237f16e45,web-flow,2023-02-15 14:02:46,1,1,2,0.00195
Anuken,Mindustry,e4f929a8510f0b628204da6a84c7d28991b47ce5,web-flow,2023-02-15 14:02:32,2,1,3,0.00293
Anuken,Mindustry,8726cde05df415998183eb3a4cb8f51f9d6f6fb9,web-flow,2023-02-15 14:01:03,2,0,2,0.00195
Anuken,Mindustry,a189ac8613420ddadb5117aaeaf2f4f1835fbb95,web-flow,2023-02-15 14:00:34,1,1,2,0.00195
Anuken,Mindustry,652aa4c45698084a52754e5773a6e9d540fe73c1,web-flow,2023-02-15 14:00:10,23,23,46,0.04492
Anuken,Mindustry,cc3ae2c66cd963f8a136a6e237e127941f53601e,web-flow,2023-02-15 13:59:57,13,8,21,0.02051
Anuken,Mindustry,359e59bbad88c56a0c6d1d82c5825318181714c5,web-flow,2023-02-15 13:58:09,4,4,8,0.00781
Anuken,Mindustry,40ec7fd6fcf9eed00335e67de1a347b22e4fa135,Anuken,2023-02-15 13:57:06,3,3,6,0.00586
Anuken,Mindustry,d17f0ebc51e87be109900fb309627b90b4f6ad1d,Anuken,2023-02-15 13:35:53,1,1,2,0.00195
Anuken,Mindustry,5027b70f5a060900bf2408f4dec48e77ae0b97a9,Anuken,2023-02-14 20:08:27,34,0,34,0.03320
Anuken,Mindustry,0b7c7907775f3edea3d839466857befe857fe6c2,Anuken,2023-02-14 20:08:24,5,1,6,0.00586
Anuken,Mindustry,5ac9e9f63cf233621e335ccfc9a19df582d32599,Unknown,2023-02-13 19:13:48,34,0,34,0.03320
Anuken,Mindustry,b08136e3ea36a10303314f5e0437be068e86588d,Anuken,2023-02-13 19:12:53,12,4,16,0.01562
Anuken,Mindustry,ec8262418fb2f4e604eb9463d591f4f07971aec9,Anuken,2023-02-11 22:40:57,81,21,102,0.09961
Anuken,Mindustry,946e36c66e4627c856dfb685c2c021bb23ddcad6,Anuken,2023-02-09 22:50:46,49,94,143,0.13965
Anuken,Mindustry,00f35183496c6620d8234126317706355c0db5c8,Anuken,2023-02-09 22:50:43,2,3,5,0.00488
Anuken,Mindustry,29bf99fe1aa286d4c7d827d71e53341d2c7b4102,web-flow,2023-02-09 22:43:11,1,1,2,0.00195
Anuken,Mindustry,e104591dec38d7bedd9ea7385061db6a5e34299b,web-flow,2023-02-09 14:22:58,1,1,2,0.00195
Anuken,Mindustry,0fd26e68d4073522ad9007517e6d5cb25b0be80a,web-flow,2023-02-09 14:21:55,6,1,7,0.00684
Anuken,Mindustry,53f410fee09a128df541117a868ca459e6bce0dc,web-flow,2023-02-09 14:20:06,14,3,17,0.01660
Anuken,Mindustry,53206e4b318712948092aac0ea9949e1b34269c3,web-flow,2023-02-09 03:54:45,1,1,2,0.00195
Anuken,Mindustry,3818bfffb4ff9c57b525a31320042eef6ff13737,web-flow,2023-02-09 03:54:17,1,1,2,0.00195
Anuken,Mindustry,e6afc6ef0bf5084ef7aa792c72da9233238e262c,web-flow,2023-02-09 03:51:25,13,11,24,0.02344
Anuken,Mindustry,5eb1c1dffcf452b4f5ad4cc7cf8e06c6c92caad9,web-flow,2023-02-09 03:50:21,0,72,72,0.07031
Anuken,Mindustry,66406806b7d1500ad42f23e7928a6195702a0c32,Unknown,2023-02-09 03:49:19,13,4,17,0.01660
Anuken,Mindustry,3a6debfae648a4a1709bbb369407602add1f1fd6,Anuken,2023-02-09 03:48:33,11,7,18,0.01758
Anuken,Mindustry,a093fa5718cde1dd7c2740d82754a74b859f7c67,Anuken,2023-02-09 03:48:17,678,696,1374,1.34180
Anuken,Mindustry,9c1f17fbddb64bfa4858ed6c21ee7a1c4ccc4a1b,web-flow,2023-02-09 03:44:07,5,3,8,0.00781
Anuken,Mindustry,ce3643f0b3990a3ba84f6f4b05223d14b2cbb24b,web-flow,2023-02-09 03:35:13,5,4,9,0.00879
Anuken,Mindustry,f1fb7d8098df4ca636ade862207a4a58e6d8ab07,web-flow,2023-02-09 03:28:44,1,0,1,0.00098
Anuken,Mindustry,3d01eeaf1cb0d716cb1cf2489de92491de0dbe15,Anuken,2023-02-09 03:25:10,1,1,2,0.00195
Anuken,Mindustry,be39c31865d00fbd1ca7b8f505c422419d4838d1,Unknown,2023-02-01 20:22:46,136,0,136,0.13281
Anuken,Mindustry,0d2dfadba700bf04483e94b9127fb97911d0c340,web-flow,2023-02-01 20:21:42,155,108,263,0.25684
Anuken,Mindustry,2dcab97b6d411fa2216486025239fff4d0d89649,Anuken,2023-02-01 20:20:38,51,57,108,0.10547
Anuken,Mindustry,31cb169002cb798b0b2c7c9bf716f57adc0f7fa2,Anuken,2023-02-01 20:20:34,1,2,3,0.00293
Anuken,Mindustry,c381499c58adfb72f238d66f49ec88640867282d,web-flow,2023-02-01 19:57:09,41,41,82,0.08008
Anuken,Mindustry,8577a8cca4a57be52d5f9eaf0e938ebdec1235c5,web-flow,2023-02-01 19:55:52,1,1,2,0.00195
Anuken,Mindustry,7a18c4a5807465615c0a9b0bd7c5f119d836a238,web-flow,2023-02-01 19:55:39,1,1,2,0.00195
Anuken,Mindustry,40589eb9ffde679b329466270edfa563e71dd8ed,web-flow,2023-02-01 19:51:47,1,1,2,0.00195
Anuken,Mindustry,722370b57ca0fccdbe9975be3d6fa5ab7399c5c7,web-flow,2023-02-01 19:51:36,1,1,2,0.00195
Anuken,Mindustry,573672622a98e154f0088855c7a2e35124f6f48d,web-flow,2023-02-01 19:48:26,1,1,2,0.00195
Anuken,Mindustry,12f747ae1d0b0552112bebbb275ee5ed55d3d5be,web-flow,2023-02-01 19:45:56,1,0,1,0.00098
Anuken,Mindustry,395dc99595ec153ee0daf72a83970f49351eb967,web-flow,2023-02-01 19:45:28,4,0,4,0.00391
Anuken,Mindustry,c94524379515b186fd35a5c6b390539056fc607e,web-flow,2023-02-01 19:45:00,0,11,11,0.01074
Anuken,Mindustry,c2262cc9cf0a9b3f425a99fc70a11e574d08b627,Anuken,2023-02-01 19:42:50,29,12,41,0.04004
Anuken,Mindustry,411399e96f451c572fe3e5a0fb67d7c7e4b1927f,Anuken,2023-02-01 19:18:29,1,0,1,0.00098
Anuken,Mindustry,f833b9e0ce37abec33f80dd4b4665d0496053a77,Anuken,2023-02-01 19:09:16,1,1,2,0.00195
Anuken,Mindustry,9955423e9af03c868edb3ff5fb99a1382eb0873e,Anuken,2023-02-01 18:35:11,2,2,4,0.00391
Anuken,Mindustry,58b4265b31260cf14ae8f02fff06947e433be116,Anuken,2023-02-01 18:35:06,1,1,2,0.00195
Anuken,Mindustry,671a62aed71dd72c2e46aeb933e5fb460df54a12,web-flow,2023-02-01 18:09:46,1,1,2,0.00195
Anuken,Mindustry,c94fe9c312d5d24a0d10bb36ffd79261419e0125,web-flow,2023-01-31 19:07:30,1,1,2,0.00195
Anuken,Mindustry,f46a9730a3b637602ee706c1d04f23185630860b,web-flow,2023-01-22 16:03:59,1,1,2,0.00195
Anuken,Mindustry,d45cd7c15e6f75d53efcf1d72e7cd447b0d640e7,web-flow,2023-01-22 14:54:39,1,1,2,0.00195
